"REST Service","E -900000000","Invalid request. Please correct and resend the request.","User tries to submit the REST request providing an invalid request data"
"Questionnaire - Chargeback","E-121000221","MoreInfoOtherDesc is required for dispute group 700 and if MoreInfoOtherInd = true. ","Member has not provided a field that is required to process/match questionnaire. Please provide the field “Please provide description of other” and resend the case"
"Questionnaire - General","E-121000222","US Plus network transactions cannot currently be disputed in ROL.","Member has attempted to dispute a US Plus network transaction.  ROL does not currently support disputes for those transactions."
"Questionnaire - General","E-121000223","GoodsServicesReceivedDesc is required..","Member has not provided a required field for the Dispute Group and Reason Code. Please provide “Describe the Merchandise/Service received (or problem)” field and resend the case."
"Questionnaire - General","E-121000224","VoucherDate is required. ","Member has not provided a required field.  Please provide the field “VoucherDate” and resend the case."
"Questionnaire - General","E-121000225","AccountNumClosedInd is required.","Member has not provided a required field.  Please provide the field “AccountNumClosedInd” and resend the case."
"Questionnaire - General","E-121000226","HowIncorrectDesc is required.","Member has not provided a required field for the Dispute Group and Reason Code. Please provide “How is the information incorrect?” field and resend the case."
"Questionnaire - General","E-121000227","ExpirationDate is required.","Member has not provided a required field for the Dispute Group and Reason Code. Please provide “If Expired, Date of Expiration” field and resend the case."
"Questionnaire - General","E-121000228","ExpectedReceiptDate is required.","Member has not provided a required field.  Please provide “ExpectedReceiptDate” and resend the case."
"Questionnaire - General","E-121000229","CounterfeitAccountNum is required.","Member has not provided a required field for the Dispute Group and Reason Code. Please provide “Account Number” field and resend the case."
"Questionnaire - General","E-121000230","CounterfeitTransactionDate is required.","Member has not provided a required field for the Dispute Group and Reason Code. Please provide “Transaction Date” field and resend the case."
"Questionnaire - General","E-121000231","CounterfeitTransactionAmt is required ","Member has not provided a required field for the Dispute Group and Reason Code. Please provide “Transaction Amount” field and resend the case."
"Questionnaire - General","E-121000232","CounterfeitMerchantId is required.","Member has not provided a required field for the Dispute Group and Reason Code. Please provide “Merchant Identification” field and resend the case."
"Questionnaire - General","E-121000233","CallReceivedDate is required                    ","Member has not provided a required field for the Dispute Group and Reason Code. Please provide “Date Call Received” field and resend the case. "
"Questionnaire - General","E-121000234","CallReceivedTime is required. ","Member has not provided a required field for the Dispute Group and Reason Code. Please provide “Time Call Received” field and resend the case."
"Questionnaire - General","E-121000235","DeclinedAccountNum is required.","Member has not provided a required field for the Dispute Group and Reason Code. Please provide “Account Number” field and resend the case."
"Questionnaire - General","E-121000236","DeclinedTransactionAmt is required/","Member has not provided a required field for the Dispute Group and Reason Code. Please provide “Transaction Amount” field and resend the case."
"Questionnaire - General","E-121000237","DeclinedIssuerResponse is required.","Member has not provided a required field for the Dispute Group and Reason Code. Please provide “Issuer Response” field and resend the case."
"Questionnaire - General","E-121000238","ReportDate is required","Member has not provided a required field for the Dispute Group and Reason Code. Please provide “Report Date” field and resend the case."
"Questionnaire - Chargeback","E-121000239","The value supplied for GoodsServicesCode is not valid for this reason code.","Member has provided a value for GoodsServicesCode that is invalid for the supplied DisputeReasonCode.  Valid combinations are listed in the Interface Element Specification (‘IES’).  Please correct and resend the case."
"Questionnaire - Chargeback","E-121000240","CardholderOptInInd is required.","Member has not provided a required field.  Pleave provide the field “CardholderOptInInd” and resend the case."
"Questionnaire - Chargeback","E-121000243","Rule Violated and Dispute Group Code combination is invalid","Member has provided a RuleViolatedCode that is not allowed with the DisputeGroupCode.  Please correct and resend the case."
"Adjustments","E-121000244","You must provide a TransactionID.","User attempts to create an Adjustment Quick Form without providing a TransactionId."
"Questionnaire - General","E-121000245","Supporting Documentation is not supported for PAN-less transactions.","Member attempts to submit a documentation for a PAN-less transaction through BulkSI/RTSI."
"Questionnaire - General","E-121000252","Invalid FileIndCode.","Member has provided an invalid value for XML element FileIndCode.  Please correct and resend the case."
"questionnaire","E-121000253","Invalid combination of  <VisaCaseNumber>, <QnId>, <QnType>.","User tries to submit a GetQuestionnaireDataRequest by specifiying invalid combinations of Visa Case Number and/or Questionnaire ID and/or Questionnaire Type."
